Order Number,Item Name,Item #,Quantity,Item Cost
903,Yerba mate set,1,1,-2.0
903,100 gram,2,1,8.0
903,Bombilla,3,1,8.0
903,Kalebas,4,1,15.0
903,Cadeauverpakking,5,1,1.0
902,Yerba mate set,1,1,-2.0
902,100 gram,2,1,8.0
902,Bombilla,3,1,8.0
902,Kalebas,4,1,15.0
901,Yerba mate set,1,1,-2.0
901,100 gram,2,1,8.0
901,Bombilla,3,1,8.0
901,Kalebas,4,1,15.0
900,Yerba mate set,1,1,-2.0
900,500 gram,2,1,20.0
900,Bombilla,3,1,8.0
900,Kalebas,4,1,15.0
899,Yerba mate set,1,1,-2.0
899,500 gram,2,1,20.0
899,Bombilla,3,1,8.0
899,Kalebas,4,1,15.0
898,Yerba mate set,1,1,-2.0
898,100 gram,2,1,8.0
898,Bombilla,3,1,8.0
898,Kalebas,4,1,15.0
897,Yerba mate set,1,2,-2.0
897,100 gram,2,2,8.0
897,Bombilla,3,2,8.0
897,Kalebas,4,2,15.0
896,Yerba mate set,1,1,-2.0
896,500 gram,2,1,20.0
896,Bombilla,3,1,8.0
896,Kalebas,4,1,15.0
895,Kalebas,1,1,15.0
895,Bombilla,2,1,8.0
894,Yerba mate set,1,1,-2.0
894,500 gram,2,2,20.0
894,Bombilla,3,2,8.0
894,Kalebas,4,1,15.0
894,Cadeauverpakking,5,1,1.0
893,Yerba mate set,1,1,-2.0
893,500 gram,2,1,20.0
893,Bombilla,3,1,8.0
893,Kalebas,4,1,15.0
892,Yerba mate set,1,1,-2.0
892,Yerba mate,2,1,8.0
892,Bombilla,3,1,8.0
892,Kalebas,4,1,15.0
890,Yerba mate set,1,1,-2.0
890,Yerba mate,2,1,8.0
890,Bombilla,3,1,8.0
890,Kalebas,4,1,15.0
889,Kalebas,1,1,15.0
889,Yerba mate - 100 gram,2,1,8.0
888,Yerba mate set,1,1,-2.0
888,Yerba mate - 100 gram,2,1,8.0
888,Bombilla,3,1,8.0
888,Kalebas,4,1,15.0
887,Bombilla,1,3,8.0
887,Yerba mate - 100 gram,2,3,8.0
886,Kalebas,1,1,15.0
886,Yerba mate - 100 gram,2,1,8.0
886,Bombilla,3,1,8.0
885,Yerba mate set,1,1,-2.0
885,Yerba mate - 100 gram,2,1,8.0
885,Bombilla,3,1,8.0
885,Kalebas,4,1,15.0
884,Yerba mate set,1,1,-2.0
884,Yerba mate - 500 gram,2,1,20.0
884,Bombilla,3,1,8.0
884,Kalebas,4,1,15.0
883,Kalebas,1,3,15.0
881,Yerba mate set,1,1,-2.0
881,Yerba mate - 500 gram,2,1,20.0
881,Bombilla,3,1,8.0
881,Kalebas,4,1,15.0
880,Yerba mate set,1,1,-2.0
880,Yerba mate - 100 gram,2,1,8.0
880,Bombilla,3,1,8.0
880,Kalebas,4,1,15.0
879,Yerba mate set,1,1,-2.0
879,Yerba mate - 100 gram,2,1,8.0
879,Bombilla,3,1,8.0
879,Kalebas,4,1,15.0
878,Kalebas,1,1,15.0
877,Yerba mate set,1,1,-2.0
877,Yerba mate - 500 gram,2,1,20.0
877,Bombilla,3,1,8.0
877,Kalebas,4,1,15.0
876,Yerba mate - 500 gram,1,1,20.0
875,Yerba mate set,1,1,-2.0
875,Yerba mate - 100 gram,2,1,8.0
875,Bombilla,3,1,8.0
875,Kalebas,4,1,15.0
874,Yerba mate set,1,1,-2.0
874,Yerba mate - 500 gram,2,1,20.0
874,Bombilla,3,1,8.0
874,Kalebas,4,1,15.0
873,Yerba mate set,1,1,-2.0
873,Yerba mate - 500 gram,2,1,20.0
873,Bombilla,3,2,8.0
873,Kalebas,4,2,15.0
873,Mateology - The Drink Beyond a Drink,5,1,15.0
872,Yerba mate set,1,1,-2.0
872,Yerba mate - 500 gram,2,1,20.0
872,Bombilla,3,2,8.0
872,Kalebas,4,2,15.0
872,Mateology - The Drink Beyond a Drink,5,1,15.0
871,Yerba mate set,1,1,-2.0
871,Yerba mate - 100 gram,2,1,8.0
871,Bombilla,3,1,8.0
871,Kalebas,4,1,15.0
866,Yerba mate set (kopie),1,1,29.0
865,Yerba mate set,1,1,-2.0
865,Bombilla,2,1,8.0
865,Yerba mate,3,1,8.0
865,Kalebas,4,1,15.0
864,Yerba mate,1,1,8.0
864,Yerba mate set,2,1,-2.0
864,Bombilla,3,1,8.0
864,Yerba mate,4,1,8.0
864,Kalebas,5,1,15.0
863,Yerba mate set,1,2,-2.0
863,Bombilla,2,2,8.0
863,Yerba mate,3,2,8.0
863,Kalebas,4,2,15.0
862,Yerba mate set,1,1,-2.0
862,Bombilla,2,1,8.0
862,Yerba mate,3,1,8.0
862,Kalebas,4,1,15.0
861,Yerba mate set,1,1,-2.0
861,Bombilla,2,1,8.0
861,Yerba mate,3,1,8.0
861,Kalebas,4,1,15.0
860,Yerba mate set,1,1,-2.0
860,Bombilla,2,1,8.0
860,Yerba mate,3,1,8.0
860,Kalebas,4,1,15.0
860,Yerba mate,5,1,8.0
858,Yerba mate set compleet,1,1,38.0
857,Yerba mate set,1,1,-2.0
857,Bombilla,2,1,8.0
857,Yerba mate,3,1,8.0
857,Kalebas,4,1,15.0
856,Yerba mate set,1,1,-2.0
856,Bombilla,2,1,8.0
856,Yerba mate,3,1,8.0
856,Kalebas,4,1,15.0
856,Bombilla,5,1,8.0
854,Yerba mate set,1,1,-2.0
854,Bombilla,2,1,8.0
854,Yerba mate,3,1,8.0
854,Kalebas,4,1,15.0
853,Yerba mate,1,1,8.0
852,Yerba mate set,1,1,-1.6
852,Bombilla,2,1,6.4
852,Yerba mate,3,1,6.4
852,Kalebas,4,1,12.0
851,Yerba mate set,1,1,-1.6
851,Bombilla,2,1,6.4
851,Yerba mate,3,1,6.4
851,Kalebas,4,1,12.0
850,Kalebas,1,1,15.0
849,Yerba mate set,1,1,-2.0
849,Bombilla,2,1,8.0
849,Yerba mate,3,1,8.0
849,Kalebas,4,1,15.0
848,Yerba mate set compleet,1,1,38.0
846,Yerba mate set,1,1,-2.0
846,Bombilla,2,1,8.0
846,Yerba mate,3,1,8.0
846,Kalebas,4,1,15.0
845,Yerba mate set,1,1,-2.0
845,Bombilla,2,1,8.0
845,Yerba mate,3,1,8.0
845,Kalebas,4,1,15.0
844,Yerba mate set compleet,1,1,38.0
843,Yerba mate set compleet,1,1,38.0
842,Yerba mate set,1,1,-2.0
842,Bombilla,2,1,8.0
842,Yerba mate,3,1,8.0
842,Kalebas,4,1,15.0
841,Yerba mate set,1,1,-2.0
841,Bombilla,2,1,8.0
841,Yerba mate,3,1,8.0
841,Kalebas,4,1,15.0
840,Yerba mate set,1,1,-2.0
840,Bombilla,2,1,8.0
840,Yerba mate,3,1,8.0
840,Kalebas,4,1,15.0
839,Yerba mate set,1,1,-2.0
839,Bombilla,2,1,8.0
839,Yerba mate,3,1,8.0
839,Kalebas,4,1,15.0
837,Yerba mate set,1,1,-2.0
837,Bombilla,2,1,8.0
837,Yerba mate,3,1,8.0
837,Kalebas,4,1,15.0
836,Bombilla,1,1,0.0
835,Yerba mate set compleet,1,1,38.0
834,Yerba mate set,1,1,-2.0
834,Bombilla,2,1,8.0
834,Yerba mate,3,1,8.0
834,Kalebas,4,1,15.0
833,Yerba mate,1,1,0.0
832,Bombilla,1,1,0.0
831,Bombilla,1,1,0.0
830,Bombilla,1,1,0.0
829,Yerba mate set compleet,1,1,38.0
829,Cadeauverpakking,2,1,1.0
828,Yerba mate set,1,1,-2.0
828,Bombilla,2,1,8.0
828,Yerba mate,3,1,8.0
828,Kalebas,4,1,15.0
827,Yerba mate set,1,1,-2.0
827,Bombilla,2,1,8.0
827,Yerba mate,3,1,8.0
827,Kalebas,4,1,15.0
826,Yerba mate set compleet,1,1,38.0
825,Kalebas,1,1,15.0
824,Kalebas,1,1,15.0
824,Bombilla,2,1,8.0
823,Yerba mate set,1,1,-2.0
823,Bombilla,2,1,8.0
823,Yerba mate,3,1,8.0
823,Kalebas,4,1,15.0
822,Yerba mate set,1,1,-2.0
822,Bombilla,2,1,8.0
822,Yerba mate,3,1,8.0
822,Kalebas,4,1,15.0
821,Yerba mate set,1,1,-2.0
821,Bombilla,2,1,8.0
821,Yerba mate,3,1,8.0
821,Kalebas,4,1,15.0
820,Yerba mate set,1,1,-2.0
820,Bombilla,2,1,8.0
820,Yerba mate,3,1,8.0
820,Kalebas,4,1,15.0
820,Cadeauverpakking,5,1,1.0
818,Yerba mate set,1,1,-2.0
818,Bombilla,2,1,8.0
818,Yerba mate,3,1,8.0
818,Kalebas,4,1,15.0
818,Yerba mate,5,1,8.0
817,Yerba mate set compleet,1,1,38.0
815,Yerba mate set,1,1,-2.0
815,Bombilla,2,1,8.0
815,Yerba mate,3,1,8.0
815,Kalebas,4,1,15.0
814,Kalebas,1,1,15.0
813,Yerba mate set,1,1,-2.0
813,Bombilla,2,1,8.0
813,Yerba mate,3,1,8.0
813,Kalebas,4,1,15.0
812,Yerba mate set compleet,1,1,38.0
811,Yerba mate set,1,1,-2.0
811,Bombilla,2,1,8.0
811,Yerba mate,3,1,8.0
811,Kalebas,4,1,15.0
810,Yerba mate set compleet,1,1,38.0
809,Yerba mate set,1,1,-2.0
809,Bombilla,2,1,8.0
809,Yerba mate,3,1,8.0
809,Kalebas,4,1,15.0
808,Yerba mate set,1,1,-2.0
808,Bombilla,2,1,8.0
808,Yerba mate,3,1,8.0
808,Kalebas,4,1,15.0
807,Yerba mate set,1,1,-2.0
807,Bombilla,2,1,8.0
807,Yerba mate,3,1,8.0
807,Kalebas,4,1,15.0
806,Yerba mate set,1,1,-2.0
806,Bombilla,2,1,8.0
806,Yerba mate,3,1,8.0
806,Kalebas,4,1,15.0
805,Yerba mate set,1,1,-2.0
805,Bombilla,2,1,8.0
805,Yerba mate,3,1,8.0
805,Kalebas,4,1,15.0
804,Yerba mate set,1,1,-2.0
804,Bombilla,2,1,8.0
804,Yerba mate,3,1,8.0
804,Kalebas,4,1,15.0
803,Yerba mate set,1,1,-2.0
803,Bombilla,2,1,8.0
803,Yerba mate,3,1,8.0
803,Kalebas,4,1,15.0
801,Yerba mate set compleet,1,1,38.0
800,Yerba mate set,1,1,-2.0
800,Bombilla,2,1,8.0
800,Yerba mate,3,1,8.0
800,Kalebas,4,1,15.0
799,Yerba mate set,1,2,-2.0
799,Bombilla,2,2,8.0
799,Yerba mate,3,2,8.0
799,Kalebas,4,2,15.0
799,Yerba mate,5,1,8.0
798,Yerba mate set,1,1,-2.0
798,Bombilla,2,1,8.0
798,Yerba mate,3,1,8.0
798,Kalebas,4,1,15.0
797,Yerba mate set,1,1,-2.0
797,Bombilla,2,1,8.0
797,Yerba mate,3,1,8.0
797,Kalebas,4,1,15.0
796,Yerba mate set,1,1,-2.0
796,Bombilla,2,1,8.0
796,Yerba mate,3,1,8.0
796,Kalebas,4,1,15.0
795,Yerba mate set,1,1,-2.0
795,Bombilla,2,1,8.0
795,Yerba mate,3,1,8.0
795,Kalebas,4,1,15.0
794,Yerba mate set compleet,1,1,38.0
793,Yerba mate set compleet,1,1,38.0
792,Yerba mate set compleet,1,1,38.0
791,Yerba mate set,1,1,-2.0
791,Bombilla,2,1,8.0
791,Yerba mate,3,1,8.0
791,Kalebas,4,1,15.0
790,Yerba mate set,1,1,-2.0
790,Bombilla,2,1,8.0
790,Yerba mate,3,1,8.0
790,Kalebas,4,1,15.0
789,Yerba mate set compleet,1,1,38.0
788,Yerba mate set,1,1,-2.0
788,Bombilla,2,1,8.0
788,Yerba mate,3,1,8.0
788,Kalebas,4,1,15.0
787,Yerba mate set,1,1,-2.0
787,Bombilla,2,1,8.0
787,Yerba mate,3,1,8.0
787,Kalebas,4,1,15.0
786,Yerba mate set,1,1,-2.0
786,Bombilla,2,1,8.0
786,Yerba mate,3,1,8.0
786,Kalebas,4,1,15.0
785,Yerba mate set,1,1,-2.0
785,Bombilla,2,1,8.0
785,Yerba mate,3,1,8.0
785,Kalebas,4,1,15.0
784,Yerba mate set,1,1,-2.0
784,Bombilla,2,1,8.0
784,Yerba mate,3,1,8.0
784,Kalebas,4,1,15.0
783,Yerba mate set,1,1,-2.0
783,Bombilla,2,1,8.0
783,Yerba mate,3,1,8.0
783,Kalebas,4,1,15.0
782,Yerba mate set,1,1,-2.0
782,Bombilla,2,1,8.0
782,Yerba mate,3,1,8.0
782,Kalebas,4,1,15.0
781,Yerba mate set compleet,1,1,38.0
780,Yerba mate set,1,1,-2.0
780,Bombilla,2,1,8.0
780,Yerba mate,3,1,8.0
780,Kalebas,4,1,15.0
778,Yerba mate,1,5,8.0
776,Yerba mate set,1,1,-2.0
776,Bombilla,2,1,8.0
776,Yerba mate,3,1,8.0
776,Kalebas,4,1,15.0
776,Yerba mate,5,1,8.0
775,Yerba mate set,1,1,-2.0
775,Bombilla,2,1,8.0
775,Yerba mate,3,1,8.0
775,Kalebas,4,1,15.0
775,Yerba mate,5,1,8.0
774,Yerba mate set,1,1,-2.0
774,Bombilla,2,1,8.0
774,Yerba mate,3,1,8.0
774,Kalebas,4,1,15.0
773,Yerba mate set,1,1,-2.0
773,Bombilla,2,1,8.0
773,Yerba mate,3,1,8.0
773,Kalebas,4,1,15.0
772,Yerba mate set,1,1,-2.0
772,Bombilla,2,1,8.0
772,Yerba mate,3,1,8.0
772,Kalebas,4,1,15.0
771,Yerba mate set,1,1,-2.0
771,Bombilla,2,1,8.0
771,Yerba mate,3,1,8.0
771,Kalebas,4,1,15.0
770,Yerba mate set,1,1,-2.0
770,Bombilla,2,1,8.0
770,Yerba mate,3,1,8.0
770,Kalebas,4,1,15.0
769,Kalebas,1,1,15.0
768,Yerba mate set,1,1,-2.0
768,Bombilla,2,1,8.0
768,Yerba mate,3,1,8.0
768,Kalebas,4,1,15.0
767,Yerba mate set compleet,1,1,38.0
766,Bombilla,1,1,8.0
765,Yerba mate set compleet,1,1,38.0
764,Yerba mate set,1,1,-2.0
764,Bombilla,2,1,8.0
764,Yerba mate,3,1,8.0
764,Kalebas,4,1,15.0
763,Yerba mate set,1,1,-2.0
763,Bombilla,2,1,8.0
763,Yerba mate,3,1,8.0
763,Kalebas,4,1,15.0
762,Yerba mate set,1,1,-2.0
762,Bombilla,2,1,9.0
762,Yerba mate,3,1,9.0
762,Kalebas,4,1,16.0
761,Yerba mate set,1,1,-2.0
761,Bombilla,2,1,8.0
761,Yerba mate,3,1,8.0
761,Kalebas,4,1,15.0
760,Yerba mate set,1,1,-2.0
760,Bombilla,2,1,8.0
760,Yerba mate,3,1,8.0
760,Kalebas,4,1,15.0
759,Yerba mate set,1,1,-2.0
759,Bombilla,2,1,8.0
759,Yerba mate,3,1,8.0
759,Kalebas,4,1,15.0
759,Yerba mate,5,1,8.0
758,Yerba mate set,1,1,-2.0
758,Bombilla,2,1,8.0
758,Yerba mate,3,1,8.0
758,Kalebas,4,1,15.0
757,Bombilla,1,1,8.0
756,Yerba mate set,1,1,-2.0
756,Bombilla,2,1,8.0
756,Yerba mate,3,1,8.0
756,Kalebas,4,1,15.0
755,Yerba mate set,1,2,-2.0
755,Bombilla,2,2,8.0
755,Yerba mate,3,2,8.0
755,Kalebas,4,2,15.0
753,Yerba mate set,1,1,-2.0
753,Bombilla,2,1,8.0
753,Yerba mate,3,1,8.0
753,Kalebas,4,1,15.0
752,Yerba mate set,1,1,-2.0
752,Bombilla,2,1,8.0
752,Yerba mate,3,1,8.0
752,Kalebas,4,1,15.0
752,Yerba mate,5,1,8.0
751,Yerba mate set,1,1,-2.0
751,Bombilla,2,1,8.0
751,Yerba mate,3,1,8.0
751,Kalebas,4,1,15.0
750,Yerba mate set,1,1,-2.0
750,Bombilla,2,1,8.0
750,Yerba mate,3,1,8.0
750,Kalebas,4,1,15.0
750,Yerba mate,5,1,8.0
749,Kalebas,1,1,15.0
749,Yerba mate,2,1,8.0
749,Bombilla,3,1,8.0
748,Yerba mate set,1,1,-2.0
748,Bombilla,2,1,8.0
748,Yerba mate,3,1,8.0
748,Kalebas,4,1,15.0
746,Yerba mate set,1,1,-2.0
746,Bombilla,2,1,8.0
746,Yerba mate,3,1,8.0
746,Kalebas,4,1,15.0
746,Yerba mate,5,1,8.0
745,Yerba mate set,1,1,-2.0
745,Bombilla,2,1,8.0
745,Yerba mate,3,1,8.0
745,Kalebas,4,1,15.0
744,Yerba mate,1,1,8.0
744,Bombilla,2,1,8.0
743,Yerba mate set,1,1,-2.0
743,Bombilla,2,1,8.0
743,Yerba mate,3,1,8.0
743,Kalebas,4,1,15.0
742,Yerba mate set,1,1,-2.0
742,Bombilla,2,1,8.0
742,Yerba mate,3,1,8.0
742,Kalebas,4,1,15.0
741,Yerba mate set,1,1,-2.0
741,Bombilla,2,1,8.0
741,Yerba mate,3,1,8.0
741,Kalebas,4,1,15.0
740,Mateology - The Drink Beyond a Drink,1,1,15.0
739,Kalebas,1,1,15.0
738,Kalebas,1,1,15.0
738,Bombilla,2,1,8.0
737,Yerba mate set,1,1,-2.0
737,Bombilla,2,1,8.0
737,Yerba mate,3,1,8.0
737,Kalebas,4,1,15.0
736,Yerba mate set,1,1,-2.0
736,Bombilla,2,1,8.0
